Verb,Verb_Type_Index
embraced,7
import,3
correct,3
established,3
strengthen,3
brewed,4
syria,10
appreciated,8
concur,8
blue,8
ghana,3
diminish,3
employer,3
involves,2
demanded,5
compensated,3
deal,3
willow,3
eliminated,4
predicts,8
insured,3
foresight,8
outlawed,3
forgive,7
mortgaging,3
waited,3
vary,3
opposing,2
state,3
congratulating,5
investigate,8
swear,5
bail,3
because,10
outgunned,4
free,3
provides,3
championing,5
suited,3
yelling,5
bypassed,6
strike,1
apply,2
cooperate,5
sped,6
appearing,8
waiting,3
guaranteed,3
destitute,3
demonstrated,3
substitute,3
protected,3
watch,8
isolated,3
shrink,3
broken,3
prohibits,3
harming,4
itemize,5
engineered,4
freeze,3
recovered,3
balance,3
contemplate,8
deficit,3
step,6
bus,6
maybe,10
requires,3
insure,3
acorn,3
drove,6
crooked,3
russia,10
drowned,3
acid,3
interjected,5
lebanon,10
striving,2
strip,1
subtract,4
daring,7
exclude,2
missing,8
insulted,5
repudiate,5
force,1
elevate,3
reply,5
perceive,8
calling,5
forcing,1
arrested,3
symbolizes,5
re-educated,2
cleaned,3
writes,5
dispute,5
analyze,8
represented,5
release,3
sued,10
drag,1
attended,3
filed,3
face,6
detroit,10
pakistan,10
destabilize,3
d-,3
initiate,4
beating,3
closing,3
canada,10
serve,4
transfer,6
mistake,2
tony,5
offsetting,3
bed,3
shepherd,1
meant,10
exploding,4
underline,1
decorated,4
legislating,3
sick,3
vetoed,3
regain,3
clean,3
yale,3
armored,3
preserve,3
know,8
lao,3
underscore,5
muslim,3
griping,7
taking,1
slap,1
painstaking,2
achieving,3
haiti,7
hungary,3
recognizes,8
creating,4
depends,3
examine,8
demonstrate,5
threatening,5
coming,6
representing,5
christened,3
refer,5
existing,3
abandon,3
reflected,8
mandate,5
held,3
pas,10
recommending,5
protects,1
refuse,2
isolate,3
misjudging,8
stabilize,3
sustain,3
diffuse,3
stick,1
chopping,4
match,3
rehabilitating,3
cooked,4
eliminating,4
coordinate,10
copying,4
capture,1
reconsidering,8
releasing,3
acquire,3
offering,5
simplify,2
penn,4
struggling,7
dream,8
secure,3
owned,3
nato,3
fledgling,3
flew,6
cheated,2
ignoring,8
gate,3
satisfy,3
cooperating,5
indicates,5
expounding,5
rest,3
brag,5
earning,4
forgot,8
founding,4
quemoy,10
acquiring,3
rob,1
deteriorate,3
exempted,3
drilling,4
govern,3
presume,2
attacked,1
florida,3
enables,10
reflect,8
protested,5
work,2
seem,8
imposes,3
applauds,5
outnumbering,3
crashing,3
calculated,2
europe,10
minded,8
serbia,9
multiple,10
tightening,1
thousand,10
visited,6
tit,1
terrifying,8
placed,3
speak,5
represent,5
live,3
explains,5
hugged,1
prejudiced,8
veto,5
shy,7
faced,3
fox,1
delighted,7
tire,3
preserved,3
tortured,1
terminated,4
exemplified,5
conducting,5
increased,3
someday,10
level,3
driving,6
pivot,6
railing,1
hmet,1
associate,2
hitchhike,6
overcrowded,3
gun,4
allege,5
overcommitting,2
maimed,3
block,1
attempted,3
replaced,3
discriminated,8
helsinki,10
penetrate,1
short-circuit,3
salk,1
hunting,1
owe,3
manned,1
restate,5
respond,5
isi,4
taxpaying,3
engaged,3
schieffer,6
murdered,4
hearing,8
tuition,3
satellite,6
leak,3
obtained,3
enriching,3
devised,4
loaning,3
uprooted,3
la,10
attempting,2
underpaid,3
acknowledges,5
spell,5
rationing,3
wiping,1
justifies,3
mocked,8
report,5
drift,6
lining,4
changing,3
prioritize,2
studied,2
beside,8
desire,7
register,5
pursued,6
spin,6
unprompted,3
b,1
smoke,4
align,3
intervened,3
bet,5
affirm,5
september,3
announcing,5
re-jiggering,4
designing,4
december,3
purchase,3
greeting,5
treating,3
disturb,1
finance,3
waived,3
picked,1
repeal,4
fled,6
deteriorated,3
wished,7
tried,3
twelfth,3
divide,4
retreated,6
deny,5
currently-which,3
excised,4
iran,6
tailored,4
canceled,3
stamp,1
floated,3
spot,8
roosevelt,10
encouraged,5
eroding,4
¢re,5
excluded,3
appointing,3
degaulle,10
urge,5
celebrated,7
signal,5
dissuade,5
charging,1
arrest,1
wrecked,4
handled,1
pour,4
funny,8
save,3
raining,3
partisan,7
twice,3
misstating,5
wilted,3
bungee,6
advocated,5
totally,8
boil,3
concern,8
relieve,3
conditioning,3
rooted,3
permit,10
point,6
correcting,2
confiscate,1
choose,2
believing,8
adopting,3
wrote,5
rekindle,7
escaped,3
engage,5
polluted,3
drink,1
fight,1
bombing,4
optimize,3
suffering,7
enact,4
crumbling,4
disrespected,5
pursues,1
acquired,3
pointing,6
bred,4
speed,6
accept,3
socialized,3
selling,3
likewise,10
split,4
hooking,1
come,6
challenge,3
decimated,4
stable,3
re-enlisted,3
shoulder,1
walking,6
disturbing,8
roaming,6
participated,3
reeve,1
arising,3
traveled,6
subscribe,3
exceed,3
preempt,3
penalized,3
amazed,8
approving,8
drawn,8
depended,3
commit,3
annoyed,7
equated,9
fisher,1
succeeds,3
obama,10
dropping,3
hiding,3
depoliticize,3
senator,10
kick,1
trigger,3
asserting,5
log,3
hofstra,10
contend,2
influence,5
thinking,2
rebuilding,4
scatter,1
combat,1
skipped,1
overrule,5
dictated,5
advance,6
name,5
borrowed,3
assigning,5
appalled,8
induce,3
hide,3
connected,3
bigoted,8
concentrate,8
towards,6
lined,3
powell,2
pearl,4
belie,2
computing,3
guam,6
say,5
pounding,1
religion,8
hope,7
surrounded,3
prompting,5
stripping,1
aiding,1
shape,4
evading,2
rank,3
middle,8
shared,3
resent,7
propose,5
dreamed,8
interpreted,8
mcdonnell,10
dictating,5
wavered,7
worked,2
carried,1
describe,5
father,4
disparaging,5
exploded,4
hillaryclinton.com,10
sum,3
regret,7
trump,5
yad,8
discus,6
afterwards,10
viewing,8
benefitting,3
rushing,6
drowns,3
reorganized,3
restore,3
coerced,2
deborah,10
criticizing,5
culminated,3
heal,3
heading,6
freedom,3
stocked,3
frustrates,7
cured,3
promote,5
contented,7
aligning,6
aged,3
modified,3
brush,1
targeted,3
pile,4
d.c.,4
waved,6
run,6
frame,4
brave,7
lobbying,5
request,5
account,5
cutting,4
texas,10
wan,3
laid,3
revolutionize,4
innovative,4
concurred,2
chicago,10
briefly,5
mangle,4
penalizing,3
gained,3
constructed,4
shelter,3
ranked,3
manage,2
ambassador,5
finding,8
reigniting,3
meaning,5
prohibited,3
army,4
registered,3
imposed,3
inflicted,4
repealing,4
darfur,1
implies,5
scrap,4
unravel,3
coalesce,3
joked,5
laugh,7
treat,3
review,5
removed,3
sung,5
count,8
complied,3
mirror,8
lowered,3
enlistment,3
ridicule,5
decline,3
improved,3
i,5
preserving,3
whip,1
reigning,3
jean,10
tamper,4
operate,4
outsmarting,2
lying,5
dampening,3
financing,3
manufacturing,4
feed,1
assailing,1
damaged,4
humiliated,7
hurt,7
rewrite,3
supplement,4
guinea,1
denied,10
lynn,1
even,9
greenberg,10
nail,1
choosing,2
overthrew,3
judged,8
shuffled,1
divided,3
develop,3
completed,3
path,6
competing,1
indemnify,3
dictate,5
check,8
weeping,7
wilt,3
stimulated,8
became,3
prevails,3
charlie,5
extend,3
excluding,8
broadened,3
reducing,4
hammerlock,1
grieving,7
perpetrated,4
assailed,1
establish,4
protect,1
byrd,1
abridged,3
fear,7
eradicate,4
promise,5
shuffle,1
replenish,4
scattered,3
overstep,2
fulfill,3
pose,6
look,8
lift,1
overtake,6
watching,8
dick,1
informed,5
recover,3
cambodia,10
quoted,5
capped,3
converted,3
fueled,4
unlistened,8
back,6
renew,3
yielded,3
blow,1
wind,6
transmuted,3
embark,6
react,7
become,3
generated,4
american,10
johnkerry.com,5
excludes,3
empower,3
cocaine,3
hillary,10
india,10
notwithstanding,9
livestock,3
insult,5
suppose,2
paved,4
soldier,1
snatch,1
paying,3
wishing,7
rogers,6
describing,8
instruct,5
retrospect,8
gut,4
catch,1
guided,8
provide,4
wring,1
confronts,5
debated,5
experimenting,2
sixteen,10
gasoline,3
kidding,5
trickle,3
delegate,5
earmarking,3
berlin,6
fired,3
obeying,2
intended,2
injure,4
knuckled,1
an-,3
pale,8
inhibit,3
slash,4
peacekeeping,3
finishing,3
vis-a-vis,5
derives,4
retire,3
painted,3
restored,3
dismantled,4
moderate,3
raised,3
admitted,5
burden,3
stolen,3
incorporating,4
pulling,1
solve,2
donald,10
included,3
denigrate,5
dominate,2
withhold,3
burned,3
insisting,5
handling,1
toughen,3
succeeding,3
scaled,3
breathing,3
signing,5
ensuring,2
walk,6
trapped,3
assured,8
shifted,6
departs,6
unraveling,3
unelected,10
demonstrating,6
consolidate,3
convert,3
trade,3
afraid,7
falling,3
respect,8
ruled,3
deployed,3
welcome,5
funding,3
dismissed,3
rewarded,3
squandering,4
marry,3
fbi,10
sdi,4
distorted,8
lose,3
monica,1
whenever,10
summarize,5
replacing,3
directing,5
talked,5
nixon,10
undergoing,3
haunting,8
wringing,1
liked,7
reserved,3
fidel,7
triumph,3
giving,5
selecting,2
california,10
condoned,3
proven,3
handing,6
educate,2
orphaned,3
tempted,7
decontrol,3
drafted,4
ha,3
object,10
alluded,5
reckoning,8
complained,5
uhh,10
interrupted,3
identify,8
condemned,3
least,8
attach,4
elect,3
want,7
seizing,1
betrayed,7
spout,1
bob,6
employed,3
bend,1
catching,1
frisk,1
greeted,5
invoke,6
chief,1
implementing,3
aimed,1
working,2
forgo,3
specified,3
advise,5
extended,3
tighten,1
voted,3
begun,3
tapering,3
outvoted,3
producing,4
aiken,1
adjective,10
trampled,1
mr.,10
outdated,3
murder,4
putting,1
housed,3
involved,10
re-employ,3
reel,6
strengthened,3
traveling,6
belongs,9
levied,3
nerve,7
kosovo,10
bought,3
proud,7
reflecting,8
emerging,3
changed,3
conditioned,3
overextended,3
centralizing,3
punching,1
declined,3
enriches,3
followed,6
staunch,3
out-spend,10
rose,3
conflicting,8
paid,3
recreate,4
waste,4
viewed,8
blown,3
robbed,3
disagreed,5
bind,3
write,5
exempting,3
safer,3
equate,3
preoccupied,8
start,3
offended,7
prof,5
bright,8
blocked,3
explained,5
cite,5
cherry-picking,7
destroyed,4
piled,3
recognizing,8
abridge,3
deploy,1
scrub,1
vowed,5
continues,3
wipe,1
privatize,4
send,5
budgeting,3
pushed,1
remains,3
listened,8
suggesting,5
ripped,4
joe,3
unified,3
deregulated,3
killing,4
smart,8
locked,3
learn,2
telling,5
dump,4
provided,3
issued,5
arise,3
subvert,3
benefit,3
roe,3
invest,3
punish,3
rochester,10
watched,8
nominated,5
reinforced,3
surging,3
endangered,3
expanding,3
taut,3
postponed,3
stepping,6
misstate,5
blessed,3
assume,2
barbara,1
resigned,3
renewed,3
excuse,5
cheerleading,6
proposing,5
building,4
begin,3
impressed,8
praise,5
deemphasize,5
disown,3
interfered,1
reorganize,3
pollute,4
complete,3
polarized,3
disciplined,3
operating,3
fascinated,8
reassigned,3
outsourcing,4
slowing,3
prosecuted,3
reaffirm,5
connecting,4
learns,2
depart,6
cause,4
except,8
leaving,6
prefers,7
shortchange,3
typify,2
drawing,4
condemning,5
reported,5
loses,3
avoiding,2
administrated,3
plaguing,3
amassed,4
announce,5
kofi,6
fund,3
imposing,3
built,4
permitted,3
nominate,5
mobilize,6
outlined,10
solved,3
elite,3
whatever,10
streamlined,3
perform,5
overwhelming,8
fend,1
georgia,10
differed,3
torture,2
furloughed,3
phased,3
civilized,3
liberate,3
kennedy,10
reneged,3
said,5
quite,10
felt,7
boost,3
protest,5
distributed,3
mind,8
exposed,3
jeremy,10
espousing,5
moderating,5
revising,2
aligned,3
chaired,3
alexander,1
lord,10
restrict,3
stuff,4
imply,5
comparing,8
shoving,1
legitimize,3
conform,2
whisper,5
rehearsed,2
troubled,7
written,4
posse,1
clobber,1
freed,3
retool,4
wherein,8
hasten,6
produce,4
disbursed,3
depend,3
accomplished,3
throwing,1
underlying,8
reestablish,3
enforce,3
cross,6
analyzing,8
enjoy,7
administering,3
retain,3
render,3
pinch,1
bite,1
harness,1
tabling,5
],1
recited,5
encourages,5
becomes,3
asking,5
profiled,3
mohammed,10
hostage,3
importing,3
diagnose,8
bargain,5
exist,9
listen,8
fifteenth,10
intends,2
lessen,3
israel,9
bit,3
intercepted,6
intermarried,3
ally,4
based,3
elected,3
mounting,3
broaden,3
inspires,7
consolidating,3
iranian,3
evolving,3
led,3
citizen,3
libya,3
hooting,5
introduce,5
notify,5
enacted,3
oversimplifies,8
figure,8
storing,3
expect,2
generate,4
defending,1
gag,1
worry,7
recognize,8
appreciate,8
proper,10
forecast,5
hacking,4
spending,3
swinging,6
composed,4
chanting,5
fair,8
love,7
dug,3
combating,1
eliminate,4
practicing,2
accentuated,8
uh,10
moving,6
post,5
further,10
extends,4
sense,8
store,3
supreme,10
accommodate,3
failed,3
initiated,4
searching,8
lowering,3
preparing,2
smashed,4
stevens,1
sean,1
ticking,3
profound,8
tie,3
escape,1
devastating,4
tempts,7
island,9
ross,6
wounded,3
embarrassing,7
speaks,5
loving,7
betray,7
detect,8
slam,1
that,10
accepting,8
governor,3
desired,3
statute,4
ridiculing,5
tightened,3
wondered,8
keeping,3
inaugurated,3
violate,3
pertain,8
normalize,3
suing,10
supposed,8
base,3
reverse,3
materialize,4
controlling,2
embarrassed,7
volunteering,1
belong,9
going,6
label,5
cooling,3
unite,3
result,3
undo,3
borrow,3
innovate,4
brezhnev,10
intervene,3
inculcate,5
hold,1
deliver,3
voicing,5
reprocessed,3
judge,2
straightened,3
trusting,7
cyber,10
measured,8
launched,3
limited,3
added,4
delivering,5
o'connor,3
tends,3
hosting,10
forgiving,7
lay,3
joined,3
met,3
imagine,8
introducing,5
blamed,10
extrapolated,8
arranged,3
visiting,6
include,3
harvested,4
printing,4
dehumanize,3
carne,3
parley,5
arrived,6
saved,3
delay,3
bidding,5
burdening,3
dragged,1
perceived,8
explode,4
need,3
rus,3
require,3
lifesaving,1
supply,4
laughing,7
misleading,5
neglecting,2
sold,3
suspected,8
understood,8
cruise,6
banned,3
deported,3
withdrew,3
earned,3
duplicating,4
cost,3
invoked,3
decayed,3
seeing,8
repress,3
valued,8
argue,5
approve,3
outsourced,4
reduce,3
delaware,6
strongly,7
federalize,3
reform,3
removing,4
hunt,1
shipped,6
prosecuting,3
politicize,5
determined,2
recommend,5
wing,6
testing,8
shore,3
advanced,3
wear,3
knew,8
mend,3
relies,8
target,4
reclaiming,3
guess,8
helped,3
weighed,3
poisoning,4
speculate,2
sealed,3
naming,5
fallen,3
defer,3
sits,3
attack,1
acted,2
repair,1
misuse,5
harbor,3
efficiency,3
somebody,10
dismantle,4
treatment,3
's,9
teaching,5
suppress,3
gridlock,3
streamline,6
memorial,3
resolved,3
shaking,6
performing,5
violating,3
salt,3
contra,1
duplicate,4
condemns,2
gaming,2
guaranteeing,5
earn,3
assert,5
newborn,3
observe,8
creates,4
applauded,5
sponsored,3
surrendering,3
refers,5
guarantee,5
incurred,3
allowed,3
forgets,2
that.ã¢â€°â¤,10
organizes,2
champion,1
boarded,6
allow,3
seize,1
answer,5
drifting,6
chased,1
empowers,3
spelled,5
ass,1
tackling,1
distraught,7
frankly,5
concept,8
shop,1
discovers,8
fined,3
lengthen,3
herbert,1
missed,8
educated,3
neglected,3
blame,2
ratify,5
failing,3
mismanaged,3
prevents,3
born,3
offered,5
consulting,5
gridlocked,3
first,10
ignore,8
recovering,3
realizes,8
injecting,1
repel,1
accelerate,3
armor,4
see,8
drill,1
separate,3
schlesinger,10
repeating,3
meeting,5
express,5
refocus,8
die,3
focusing,8
miss,7
decreased,3
cure,3
shining,8
sounded,8
regarded,8
saudi,1
firm,3
exercising,1
heed,8
consults,5
awol,6
matter,8
mobilizing,6
conclude,2
reenter,6
blinking,6
emphasizing,5
froze,3
accomplish,3
ousted,3
recognized,8
spreading,3
ruin,4
supported,3
lloyd,1
cozy,3
ask,5
misplaced,3
needing,3
train,1
criticize,5
confusing,8
compare,8
shown,8
walked,6
understand,8
mosul,3
touched,1
gutting,4
oversight,8
survive,3
reregulate,3
open,3
distributing,1
visit,6
receive,5
addicted,3
heap,4
launching,3
massachusetts,10
show,5
exploring,6
sock,1
dy,3
consulted,5
monitor,8
sorted,3
continued,3
advantaged,3
making,4
given,9
present,5
wearing,3
waging,4
paradise,3
verify,8
harvard,10
trying,2
channeled,6
michael,10
ruining,4
wanting,7
remain,3
behaving,3
spiral,6
capitalize,5
treated,3
required,3
fictionalized,3
obey,2
maintaining,3
occurring,3
shoot,4
flown,6
c-,2
explaining,5
loophole,10
endanger,4
right,10
persists,3
denigrates,5
agree,5
intend,2
direct,5
repeat,3
deviate,8
play,1
devastated,7
key,4
yielding,3
stated,5
teach,5
better,3
aborted,4
implemented,3
policing,1
weã¢â‚¬â,10
belonged,3
assad,4
benefiting,3
locate,8
showing,5
protecting,1
referred,5
good,9
spoke,5
audited,3
noted,8
closer,8
satisfied,7
reporting,5
okay,5
vacuum,1
undertaken,3
pouring,4
modify,3
scale,3
repudiated,2
seemed,8
abridges,3
campaigning,5
crowd,6
rush,6
addressed,5
