Sentence_id,Text,class_label,y
15359,"Obviously, no President wants war, and I certainly do not believe that Governor Reagan, if he were President, would want war, but a President in the Oval Office has to make a judgment on almost a daily basis about how to exercise the enormous power of our country for peace, through diplomacy, or in a careless way in a belligerent attitude which has exemplified his attitudes in the past.",No,0
10868,"We can move forward, and clean up our climate, and develop green technologies, and alternate -- alternative energies for -- for hybrid, for hydrogen, for battery-powered cars, so that we can clean up our environment and at the same time get our economy going by creating millions of jobs.",No,0
13740,The people who have jobs and educations and opportunities that didn't have them 10 years ago don't think it's irrelevant at all; they think it's highly relevant and they wish the rest of the country had them.,No,0
22566,So I complain about that.,No,0
29165,"Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent.",No,0
7695,Everyone who does business with the government should have the opportunity to make sure that they do not practice discrimination in their hiring.,No,0
25989,"Nobody should smoke, young or old, but particularly young people should not smoke, but my record is there.",No,0
9280,"But what we don't need is to have the president keeping us from taking advantage of oil, coal and gas.",No,0
17010,We need a president who can go in - who derives his strength from the people.,No,0
25611,"When you make that judgment, you are deciding not only the future of our nation; in a very profound respect, you're deciding the future of the world.",No,0
33268,"I have met with women who toward the end of their pregnancy get the worst news one could get, that their health is in jeopardy if they continue to carry to term or that something terrible has happened or just been discovered about the pregnancy.",No,0
26808,"This is the highest honor that I have ever had in my life, to think that somebody from Russell, Kansas, somebody who grew up living in a basement apartment, someone whose parents didn't finish high school, somebody who spent about 39 months in hospitals after World War II, someone who uses a buttonhook every day to get dressed.",No,0
8178,"And I subscribe completely to the spirit that Senator Kennedy has expressed tonight, the spirit that the United States should move ahead.",No,0
6092,It is not and I just described it...,No,0
20798,Take for example the marriage penalty.,No,0
24338,"And so, we've got a good military.",No,0
30044,"We have so many things that we have to do better, Lester, and certainly cyber is one of them.",No,0
25432,But when you keep star-warring it -- I never suggested where the weapons should be or what kind; I'm not a scientist.,No,0
15043,To involve them in the administration of government and the feeling that they belong to the societal structure that makes decisions in the judiciary and in the executive branch is a very important commitment which I am trying to realize and will continue to do so in the future.,No,0
25895,But -- and I think the United States can do whatever we reasonably can.,No,0
19136,"Well, Jim, I believe that the Federal government should give people the tools and try to establish the conditions in which they can make the most of their own lives.",No,0
19935,I remember talking by the telephone.,No,0
20511,The main issue is whether or not the Roe v. Wade decision is going to be overturned.,No,0
2276,You can't have a free market work if you don't have regulation.,No,0
9078,"And therefore, I think you ought to consider doing something about it, and voting for an Independent in 1980.",No,0
27495,"But over time, what they can do is regain credibility.",No,0
15181,"I am talking of taking the treaty back, and going back into negotiations.",No,0
3460,"It has to have options for loans to failing businesses, rather than the government taking over those loans.",No,0
13927,We cannot lose those jobs.,No,0
19667,And they said no because they got a memo from one of their political advisers saying that instead they should characterize whatever we did as big government and make sure nothing was done to aid healthcare before the '94 elections so they could make that claim.,No,0
31994,But it is things that people say.,No,0
16081,"So I'm not going to begin, and I'm not going to go to entitlements as a means for cutting that deficit when we're spending billions on something like Star Wars, when we're spending billions on other weapon systems which apparently the Vice President wants to keep in his back pocket or some place, but which, if we continue to spend billions on them, will force us to cut Social Security, to cut Medicare, to cut these basic entitlements to people of very, very modest means.",No,0
27234,And we've got to make sure that we reduce our deficit.,No,0
4096,That will change when I'm president of the United States.,No,0
15467,"And it would be one to take Government off the backs of the great people of this country, and turn you loose again to do those things that I know you can do so well, because you did them and made this country great.",No,0
32721,Let me tell you something.,No,0
7678,"These are the questions in these areas that the North and South, East and West are entitled to know.",No,0
16497,"And from the a- analysis that I've made so far, it seems to me that that tax bill does uh - justify my signature and my approval.",No,0
21064,And the interest savings I would put right back into Social Security.,No,0
30083,"And the only way that American troops could have stayed in Iraq is to get an agreement from the then-Iraqi government that would have protected our troops, and the Iraqi government would not give that.",No,0
34241,"Well, Aleppo is a disaster.",No,0
17599,"If you got the Government down to the lowest level, that you yourself could say it could not go any lower and still perform the services for the people, and if the recovery was so complete that you knew you were getting the ultimate amount of revenues that you could get through that growth, and there was still some slight difference there between those two lines, then I had said once that, yes, you would have to then look to see if taxes should not be adjusted.",No,0
27555,And I saw families there who showed me there where missiles had come down near their children's bedrooms.,No,0
18210,"But again, I repeat to my fellow citizens, the best way to protection is to stay on the offense.",No,0
23165,"Mr. President, you're batting 0 for 2.",No,0
15895,"Thanks to the miraculous sacrifice of doctors and nurses, the child stayed alive for six months and then died.",No,0
12856,"I think if we had stuck by that position last winter, we would have been in a better position in May.",No,0
8486,It was because they were too extreme.,No,0
17983,We pursued Al Qaida wherever Al Qaida tries to hide.,No,0
21916,But I have lived the American dream.,No,0
24805,That's Washington in a nutshell right there.,No,0
30022,"I mean, it could be Russia, but it could also be China.",No,0
24813,We owe you a debt we can never repay you.,No,0
12156,There is now a federal judge's opinion about the current management of this program ordering the State of Texas to do -- you should read that judge's language about this.,No,0
8998,"Now, I have thought for a long time that too many of our churches have been too reluctant to speak up in behalf of what they believe is proper in Government, and they have been too too lax in interfering, in recent years, with Government's invasion of the family itself, putting itself between parent and child.",No,0
20906,The voluntary national testing is in addition to the mandatory testing that we require of states.,No,0
23688,And the biggest threat facing America is terrorists with weapons of mass destruction.,No,0
11494,We don't know whether he's developing weapons of mass destruction.,No,0
10747,"Well, I think it starts with Washington.",No,0
13540,"And getting back to this matter that we discussed at the outset, the matter of Quemoy and Matsu.",No,0
5560,And that requires us to make some important choices.,No,0
19573,We've got to go back and look.,No,0
4409,"And part of what we need to do, what the next president has to do -- and this is part of our judgment, this is part of how we're going to keep America safe -- is to -- to send a message to the world that we are going to invest in issues like education, we are going to invest in issues that -- that relate to how ordinary people are able to live out their dreams.",No,0
15923,"No, I don't happen to share that goal.",No,0
25058,I'm not going to continue trying to respond to these repetitions of the falsehoods that have already been stated here.,No,0
32854,"You know, children listen to what is being said.",No,0
27238,"Now, Governor Romney has taken a different approach throughout this campaign.",No,0
27040,"Number three, we do have to make sure that we're protecting religious minorities and women because these countries can't develop unless all the population, not just half of it, is developing.",No,0
5930,"And, by the way, she also understands special-needs families.",No,0
32896,"And this country cannot take another four years of Barack Obama, and that's what you're getting with her.",No,0
3176,"So as far as the respect of our own people toward our own government, as far as participating in the shaping of uh - concepts and commitments, as far as the trust of our country among the nations of the world, as far as dependence of our country in meeting the needs and obligations that we've expressed to our allies, as far as the respect of our country - even among our potential adversaries - we are weak.",No,0
4032,No U.S. soldier ever dies in vain because they're carrying out the missions of their commander in chief.,No,0
3814,And we will come home as we have when we have won other wars and not in defeat.,No,0
22969,And I'm going to put in place a better homeland security effort.,No,0
20453,I'm against removing dams in the northwest.,No,0
27566,"Bob, let's not go into hypotheticals of that nature.",No,0
33350,"It means you would have to have a massive law enforcement presence, where law enforcement officers would be going school to school, home to home, business to business, rounding up people who are undocumented.",No,0
27114,I don't think there is a necessity to put our military in Syria at this stage.,No,0
28199,"We need to have -- allow small businesses to write insurance across jurisdictional lines so small business can afford health care, small restaurants can afford health care.",No,0
8930,"But I think, by improving productivity, they would be far less inflationary than the consumption-oriented tax cut that Governor Reagan is recommending.",No,0
18754,And the president of South Korea went back to South Korea bewildered and embarrassed because it went against his policy.,No,0
18519,"And it reminds me that it is vital for us not to confuse the war, ever, with the warriors.",No,0
4295,No one can be opposed to alternate energy.,No,0
15999,"No, but you got to go back to what social security was when it was created.",No,0
32650,"You were in total contact with the White House, and perhaps, sadly, Obama probably still listened to you.",No,0
7425,I've reached across the aisle.,No,0
12731,I'm asking the people's support as president.,No,0
16733,"In addition to that, we ought to have a - a shift toward the use of coal, particularly in the Appalachian regions where the coal is located.",No,0
10693,Senator McCain likes to talk about earmarks a lot.,No,0
20597,It means that the United States must have a strong diplomatic hand with our friends in NATO.,No,0
4356,"The consequences of defeat, which would result from his plan of withdrawal and according to date certain, regardless of conditions, according to our military leaders, according to every expert, would lead to defeat -- possible defeat, loss of all the fragile sacrifice that we've made of American blood and treasure, which grieves us all.",No,0
32216,"So if we just rip it up and throw it away, what Donald's not telling you is we just turn it back to the insurance companies the way it used to be, and that means the insurance companies...",No,0
9653,"Because this is not just a -- a health issue, it's an economic issue for women.",No,0
2885,"Well, I'm not gonna name my cabinet before I get elected.",No,0
28687,We can work with the entertainment industry to provide family hour.,No,0
6782,I will defend the right of Roe v. Wade.,No,0
12660,I look up and see the Soviet flag on the moon.,No,0
9288,That's not the right course for America.,No,0
10686,"Now, when JFK said we're going to the Moon in 10 years, nobody was sure how to do it, but we understood that, if the American people make a decision to do something, it gets done.",No,0
2800,"In addition to that we've had a chance to became now, contrary to our long-standing beliefs and principles, the arms merchant of the whole world.",No,0
8914,"Well, we've seen what has happened.",No,0
4192,"It is absolutely important that we have a unified alliance and that we explain to the Russians that you cannot be a 21st-century superpower, or power, and act like a 20th-century dictatorship.",No,0
15193,"In addition to that, the adversarial relationship between ourselves and the Soviet Union would undoubtedly deteriorate very rapidly.",No,0
21262,"Make no mistake about it, they do have undue influence in Washington, D.C. and it makes a difference if you have a president who will fight for you.",No,0
22154,The end of the Cold War brings an incredible opportunity for change.,No,0
16238,"We had some fun Crystal Gayle and Loretta Lynn with us, and they got up and sang, went to little towns and I talked agriculture.",No,0
3293,Let me assure you that we made every possible overture to the People's Republic of China and through them to the Cambodian Government.,No,0
32872,"Well, within hours I said that I was sorry about the way I talked about that, because my argument is not with his supporters.",No,0
25512,"And I think that we've had enough of a record of letting -- under the guise of revolution -- someone that we thought was a little more right than we would be, letting that person go, and then winding up with totalitarianism, pure and simple, as the alternative.",No,0
34246,It is so sad when you see what's happened.,No,0
28985,People are going to get paid.,No,0
7656,"And when I speak of presidential leadership, I refer for example to our attitude on the sit-in strikes.",No,0
14297,You can look all around and you'll see first-class strong women.,No,0
1142,"Not this one, however, that you bring up.",No,0
31890,I apologize to the American people.,No,0
2522,I want to bring down the tax burden on middle-income families.,No,0
12047,That conceivably could have prevented that tragedy.,No,0
8613,"If you feel that everything that is being done now is satisfactory, that the relative power and prestige and strength of the United States is increasing in relation to that of the Communists; that we've b- gaining more security, that we are achieving everything as a nation that we should achieve, that we are achieving a better life for our citizens and greater strength, then I agree.",No,0
25800,"First of all, let me say what we have done.",No,0
1893,Bill Clinton tried the approach that I'm talking about.,No,0
11477,Our country has been very active with regular conversations with the leaders there.,No,0
6509,My opponent said this war is a matter of intelligence and law enforcement.,No,0
33572,Donald wants to tear up our alliances.,No,0
26956,"It's wonderful that Libya seems to be making some progress, despite this terrible tragedy.",No,0
6809,"The last debate, my opponent said his wife was involved with those programs.",No,0
2618,"When it comes to community colleges, we are seeing great work done out there all over the country because we have the opportunity to train people for jobs that exist right now.",No,0
13680,"If I make a mistake, I admit it.",No,0
8167,The question now is: Can freedom be maintained under the most severe tack - attack it has ever known?,No,0
32401,That was a great -- I thought a great display of presidential leadership.,No,0
533,But it takes presidential leadership.,No,0
27336,And that one doesn't sound good and it's not affordable.,No,0
23166,"I mean, seriously -- labels don't mean anything.",No,0
6624,"We're spending more money, but let's raise the standards and measure early and solve problems now, before it's too late.",No,0
29433,I'm getting rid of the carried interest provision.,No,0
29645,"He provided a good middle-class life for us, but the people he worked for, he expected the bargain to be kept on both sides.",No,0
15169,The Senate has not voted yet on the Strategic Arms Limitation Treaty.,No,0
8088,That's the importance of party; only if it tells something about the record.,No,0
30029,But Bernie Sanders was taken advantage of.,No,0
28906,"One of the things that happens when you're a governor, at least oftentimes you have to make tough decisions.",No,0
20349,"I cannot let this go by, the old-style Washington politics, of we're going to scare you in the voting booth.",No,0
16439,"This is uh - an effort that ought to be done primarily by strong leadership in the White House, the inspiration of our people, the tapping of uh - business, agriculture, industry, labor and government at all levels to work on this uh project.",No,0
11760,I thought the President did the right thing with Mexico and was very strongly supportive of the administration in Mexico.,No,0
12763,Did Khrushchev gain because he took his shoe off and pounded the table and shouted and insulted?,No,0
32905,"By the way, just so you understand, when she said 3 o'clock in the morning, take a look at Benghazi.",No,0
27441,"They can take the diplomatic route and end their nuclear program or they will have to face a united world and a United States president, me, who said we're not going to take any options off the table.",No,0
6312,"I don't think America's youth are interest groups, I think they're our future.",No,0
2654,"I propose we grade our schools so parents know which schools are succeeding and failing, so they can take their child to a -- to a school that he's being more successful.",No,0
29727,But you take the gun away from criminals that shouldn't be having it.,No,0
21495,Thank goodness the networks have a fact check so I don't have to just go blue in the face anymore.,No,0
25837,We need to help people who are between jobs.,No,0
28692,"Greatly expand character education funding so that public schools will teach children values, values which have stood the test of time.",No,0
8166,I think our generation of Americans has the same rendezvous.,No,0
15484,"I don't see any evidence that it's a deterrent, and I think there are better and more effective ways to deal with violent crime.",No,0
21149,I felt like there needed to be a better sense of responsibility of what was going on in the White House.,No,0
19423,"I mean, you say we've done all these bad things, which isn't the case.",No,0
15990,The American working man and woman are not taxed too little.,No,0
27,"And I saw the cocaine scene treated with humor, as though this was a humorous little incident.",No,0
14642,"On looking specifically at the Arkansas record -- he keeps criticizing us, criticizing me, I'm the incumbent, fine.",No,0
21667,You just give me a job.,No,0
8320,"He has made the suggestion that what we need is to move in the direction of more government controls, a suggestion that would also mean raising prices uh - that the consumers pay for products and im- and imposing upon the farmers uh - controls on acreage even far more than they have today.",No,0
1970,"And despite that, what we've said is, yes, we had to take some initial emergency measures to make sure we didn't slip into a Great Depression, but what we've also said is, let's make sure that we are cutting out those things that are not helping us grow.",No,0
15806,"I think of a young man now in this country named Villadaris, who was released from a Cuban jail.",No,0
18735,"He wants to unravel the six- party talks, or the five-nation coalition that's sending him a clear message.",No,0
26603,You have to be very careful of that because you have to protect the people who are already in the pipeline.,No,0
32511,And the money is with people who have taken advantage of every single break in the tax code.,No,0
26601,"We're doing that precisely, and I think one thing sooner or later we're going to have to consider is take a look at the Social Security system.",No,0
33710,"Because if it is, I should win easily, it was so bad.",No,0
1752,But the president mentioned a couple of other ideas I'll just note.,No,0
30295,That turned out to be wrong.,No,0
25985,"The President in the election year decided I ought to do something, I haven't done anything on drugs.",No,0
12025,An I don't think that is going to be an effective tool to make the -- keep our society safe.,No,0
27218,"I think also that pulling our missile defense program out of Poland in the way we did was also unfortunate in terms of, if you will, disrupting the relationship in some ways that existed between us.",No,0
28068,"It's time for our nation to come together and do what's right for the people, and I think this is right for the people.",No,0
11223,We've got to show moral support for Ukraine.,No,0
18982,"As George Will said the other day, ""Freedom on the march; not in Russia right now.""",No,0
1831,"And if we lower that rate, they will be able to hire more people.",No,0
16653,The net result is we are going to have some improvement in our receipts.,No,0
21313,And you don't care about anything but making money.,No,0
15709,"So, it's not a question of saying our budget is full of a lot of waste.",No,0
20865,"We ought to have universal pre-school and we ought to make college tuition tax deductible, up to $10,000 a year.",No,0
32221,"So let's fix what's broken about it, but let's not throw it away and give it all back to the insurance companies and the drug companies.",No,0
17775,"And why I think it is outrageous -- first of all, it isn't true.",No,0
30443,But I certainly will support the outcome of this election.,No,0
3929,"But if we snatch defeat from the jaws of victory and adopt Senator Obama's plan, then we will have a wider war and it will make things more complicated throughout the region, including in Afghanistan.",No,0
27607,"And even some in my own party, including my current vice president, had the same critique as you did.",No,0
20424,"Secondly, we need an active exploration program in America.",No,0
24451,I've seen the family values of my people in Arkansas.,No,0
24697,"But if you don't have the guts to control costs by changing the insurance system and taking on the bureaucracies and the regulation of health care in the private and public sector, you can't fix this problem.",No,0
32470,But -- and I say that about a lot of things.,No,0
9016,I don't believe in trying to legislate new tests for the selection of the Federal Judiciary.,No,0
32412,... with the Russians and other foreign powers.,No,0
2280,"I mean, you have to have regulations so that you can have an economy work.",No,0
9285,"The head of the EPA said, ""You can't build a coal plant.",No,0
12921,He can say now that he no longer believes that a line should be drawn leaving these islands out of the perimeter of defense.,No,0
7629,"But I don't confuse words with strength; and in my judgment if the summit was useful, if it would have brought us closer to peace, that rather than the lie that we told - which has been criticized by all responsible people afterwards - it would have been far better for us to follow the common diplomatic procedure of expressing regrets and then try to move on.",No,0
21968,"Well, I've been governor of a small state for 12 years.",No,0
27152,"They want jobs, they want to be able to make sure their kids are going to a good school.",No,0
12022,"The criminal is not going to show up and say hey, give me my I.D.",No,0
8746,"We're going to have to develop better community transportation systems, so that with buses and light rail, we can replace the private automobile in those places where it clearly is not energy-efficient.",No,0
26333,Most important good things that happen in America happen in families.,No,0
1594,"Inflation is robbing us, as we've already discussed, and the government bureaucracy is uh - just a horrible mess.",No,0
30064,We will take out ISIS.,No,0
28169,"I want to give small business employers a tax credit, 25%, to encourage the providing of health insurance for the employees in small businesses.",No,0
22845,We've got to lead the world now to crack down on proliferation as a whole.,No,0
27553,"I went to Yad Beshef (ph), the Holocaust museum there, to remind myself the nature of evil and why our bond with Israel will be unbreakable.",No,0
3920,That's what Admiral Mullen said.,No,0
26290,He twisted arms and got six Democrats to vote with him and lost by one vote.,No,0
28656,Because people shouldn't be taxed twice on their assets.,No,0
21098,"Mr. Greenspan I thought missed an opportunity to say there's a third way, and that is to get a better rate of return on the Social Security monies coming into the trust.",No,0
8340,"Now, I can only say this.",No,0
32293,"I've met with a lot of them, and I've heard how important it is for them to feel that they are wanted and included and part of our country, part of our homeland security, and that's what I want to see.",No,0
19430,"I mean that's what, I want to stop it from coming across the border.",No,0
20961,"It was about emergencies, wasn't it?",No,0
10729,"And President Bush did some smart things at the outset, but one of the opportunities that was missed was, when he spoke to the American people, he said, ""Go out and shop.""",No,0
6394,"You know, over the last 20 months, you've invited me into your homes.",No,0
10724,"Frankly, I'm not going to tell that person without health insurance that, ""I'm sorry, you'll have to wait.""",No,0
6557,"He said, if it's good enough for the congressmen and senators to have choice, seniors ought to have choice.",No,0
3731,Doesn't work any better through the private insurers.,No,0
16870,"And one final comment, uh - Governor Carter talks about the tax bills and all of the inequities that exist in the present law.",No,0
16016,"And I am going to keep that Social Security Trust Fund sound and keep our commitment to the elderly and maybe down the line, maybe when you get two decades or one into the next century, you're going to have to take another look at it, but not now.",No,0
30463,"The answer is, if she wins, I will absolutely support her.",No,0
8154,It's the only way that we're going to move ahead.,No,0
22962,I agree with the president that we have to go after them and get them wherever they are.,No,0
29430,"Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs.",No,0
9799,This was the president's plan.,No,0
10580,They're the fundamental aspect of America's economy.,No,0
25016,"But I am not going to pick out one and, in advance, hypothetically say, ""Oh, yes, we would send troops there.''",No,0
10463,"Americans are angry, they're upset, and they're a little fearful.",No,0
4163,"We sit down with Ahmadinejad, and he says, ""We're going to wipe Israel off the face of the Earth,"" and we say, ""No, you're not""?",No,0
17250,"In our particular church, we did not use that term, ""born again,'' so I don't know whether I would fit that -- that particular term.",No,0
7189,"I'm not going to appoint a judge to the Court who's going to undo a constitutional right, whether it's the First Amendment, or the Fifth Amendment, or some other right that's given under our courts today -- under the Constitution.",No,0
32554,"But I have a write-off, a lot of it's depreciation, which is a wonderful charge.",No,0
16146,"He's been out in the state saying that, in Midwestern states.",No,0
1460,Anybody who says that the inflation rate is in good shape now ought to talk to the housewives.,No,0
19653,They're going to see their own doctor when Bob Dole is president.,No,0
30330,"I intend to be a leader of our country that people can count on, both here at home and around the world, to make decisions that will further peace and prosperity, but also stand up to bullies, whether they're abroad or at home.",No,0
17997,Free nations will answer the hopes and aspirations of their people.,No,0
3907,We've been successful in Afghanistan.,No,0
32783,"She went over a minute over, and you don't stop her.",No,0
29676,"When we look at the budget, the budget is bad to a large extent because we have people that have no idea as to what to do and how to buy.",No,0
8356,Mine has been in the executive branch.,No,0
16287,"It now looks, because of steady negotiation, that we may have an agreement that will remove the Cubans from Angola.",No,0
24519,"You know, we went on the Libyan raid -- do you remember that one?",No,0
4255,"What we're going to have to do is to approach it through alternative energy, like solar, and wind, and biodiesel, and, yes, nuclear energy, clean-coal technology.",No,0
22121,"So the new world order to me means freedom and democracy, keep engaged, do not pull back into isolation.",No,0
9458,"Because under the last four years, they've been buried.",No,0
13450,"But I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully.",No,0
22290,"And if they don't, they wind up in prison.",No,0
20042,"I remember one day on the floor I said now, gentlemen, let me tax your memories, and Kennedy jumped up and said, why haven't we thought of that before.",No,0
1499,I've never depended on powerful political figures to put me in office.,No,0
33736,"Well, first, let me say, number one, when I saw the final agreement for TPP, I said I was against it.",No,0
28031,I'm glad you clarified that.,No,0
19944,"I believe that we have to do these things with a government that's smaller and less bureaucratic, but that we have to do them nonetheless.",No,0
2021,And the reality is it's not just wealthy people -- you mentioned Donald Trump.,No,0
1013,"Doesn't your policy really imply that we're going to have a fairly high rate of unemployment over a fairly long time, that growth is gonna be fairly slow, and that we're not gonna be able to do much - very much in the next four or five years to meet the basic agenda of our national needs in the cities, in health, uh in transit and a whole lot of things like that.",No,0
14627,"I'm saying, well, this is not as tough as World War II and it's not as tough as the revolution.",No,0
28489,And our team of -- our country's team over there did a great job.,No,0
